json_file,section,title,collaborator_name,filled_id_lattes,tipo_resolucao
Alessandra de Almeida Lucas.json,trabalhos_completos[11],"PROPRIEDADES REOLÓGICAS, MECÂNICAS E TÉRMICAS DE FILMES BIODEGRADÁVEIS DO NANOCOMPÓSITO POLI(BUTILENO SUCCINATO) (PBS)/AMIDO TERMOPLÁSTICO (TPS) REFORÇADO COM NANOCRISTAIS DE CELULOSE (NCC)","MATTOSO, L. H. C.",5839043594908917,coautor_reconhecido
Alessandra de Almeida Lucas.json,trabalhos_completos[11],"PROPRIEDADES REOLÓGICAS, MECÂNICAS E TÉRMICAS DE FILMES BIODEGRADÁVEIS DO NANOCOMPÓSITO POLI(BUTILENO SUCCINATO) (PBS)/AMIDO TERMOPLÁSTICO (TPS) REFORÇADO COM NANOCRISTAIS DE CELULOSE (NCC)","Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[12],Influência dos Parâmetros do Processamento sobre a Transesterificação das Blendas PBAT/PBS,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[13],CARACTERIZAÇÃO ESTRUTURAL DE FILMES TUBULARES DE NANOCOMPÓSITOS DE PA6/MMT POR SAXS,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[14],e extração de nanocristais de celulose da fibra Tucum proveniente da Amazônia,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[15],Caracterização e avaliação do potencial de extração de nanocristais de celulose dos resíduos da produção de cerveja,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[16],Nanocomposite triphasic mono-component obtainment from cellulose fibers modified by oxypropylation reaction,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[17],Mecânicas de Nanobiocompósitos de PHBV / Nanofibrilas de Celulose de Eucalipto,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[18],Obtenção de Nanofibrilas de Celulose a partir de espécies pioneira e nobre da Floresta Amazônica: Caroba e Pau Rosa,"Lucas, A.A.",9754332336954137,proprio_pesquisador
Alessandra de Almeida Lucas.json,trabalhos_completos[19],Obtenção de Nanocompósitos de polietileno e nanofibrilas de celulose,"Lucas, A.A.",9754332336954137,proprio_pesquisador
